G1,G2,jaccard_coef
COL11A1,COL2A1,0.3698630136986301
COL11A1,COL11A1,1
COL11A1,COL11A2,0.22058823529411764
COL11A1,COL5A1,0.4027777777777778
COL11A1,COL5A2,0.3194444444444444
